03. 16:19:07, batch 148,  convothello.ckpt wr: 0.46, nvothello/drill_53.ckpt wr: 0.53
03. 16:20:14, batch 149,  convothello.ckpt wr: 0.48, nvothello/drill_18.ckpt wr: 0.48
03. 16:21:20, batch 150,  convothello.ckpt wr: 0.48, nvothello/drill_47.ckpt wr: 0.52
03. 16:22:29, batch 151,  convothello.ckpt wr: 0.49, nvothello/drill_30.ckpt wr: 0.48
03. 16:23:35, batch 152,  convothello.ckpt wr: 0.56, nvothello/drill_73.ckpt wr: 0.41
03. 16:24:43, batch 153,  convothello.ckpt wr: 0.52, nvothello/drill_120.ckpt wr: 0.45
03. 16:25:50, batch 154,  convothello.ckpt wr: 0.52, nvothello/drill_107.ckpt wr: 0.47
03. 16:27:01, batch 155,  convothello.ckpt wr: 0.39, nvothello/drill_47.ckpt wr: 0.59
03. 16:28:08, batch 156,  convothello.ckpt wr: 0.45, nvothello/drill_125.ckpt wr: 0.52
03. 16:29:15, batch 157,  convothello.ckpt wr: 0.51, nvothello/drill_14.ckpt wr: 0.48
03. 16:30:22, batch 158,  convothello.ckpt wr: 0.50, nvothello/drill_46.ckpt wr: 0.49
03. 16:31:33, batch 159,  convothello.ckpt wr: 0.51, nvothello/drill_104.ckpt wr: 0.49
03. 16:32:42, batch 160,  convothello.ckpt wr: 0.52, nvothello/drill_94.ckpt wr: 0.48
03. 16:33:51, batch 161,  convothello.ckpt wr: 0.44, nvothello/drill_123.ckpt wr: 0.51
03. 16:34:57, batch 162,  convothello.ckpt wr: 0.49, nvothello/drill_120.ckpt wr: 0.49
03. 16:36:01, batch 163,  convothello.ckpt wr: 0.48, nvothello/drill_75.ckpt wr: 0.49
03. 16:37:06, batch 164,  convothello.ckpt wr: 0.49, nvothello/drill_135.ckpt wr: 0.45
03. 16:38:14, batch 165,  convothello.ckpt wr: 0.55, nvothello/drill_127.ckpt wr: 0.43
03. 16:39:20, batch 166,  convothello.ckpt wr: 0.48, nvothello/drill_17.ckpt wr: 0.47
03. 16:40:27, batch 167,  convothello.ckpt wr: 0.40, nvothello/drill_48.ckpt wr: 0.59
03. 16:41:33, batch 168,  convothello.ckpt wr: 0.56, nvothello/drill_7.ckpt wr: 0.42
03. 16:42:40, batch 169,  convothello.ckpt wr: 0.41, nvothello/drill_95.ckpt wr: 0.55
03. 16:43:51, batch 170,  convothello.ckpt wr: 0.54, nvothello/drill_58.ckpt wr: 0.43
