07. Feb 18:21:18, Step 70000: 0.5375 1.98252766927
07. Feb 18:21:51, Step 70250: 0.5375 2.00313351949
07. Feb 18:22:26, Step 70500: 0.525 2.02781524658
07. Feb 18:22:58, Step 70750: 0.554166666667 2.00353368123
07. Feb 18:23:32, Step 71000: 0.5625 1.99374338786
07. Feb 18:24:07, Step 71250: 0.5 1.99872639974
07. Feb 18:24:42, Step 71500: 0.541666666667 2.01186930339
07. Feb 18:25:17, Step 71750: 0.525 1.98745574951
07. Feb 18:25:52, Step 72000: 0.541666666667 1.97555414836
07. Feb 18:26:27, Step 72250: 0.516666666667 2.0053855896
07. Feb 18:27:02, Step 72500: 0.5625 2.02166773478
07. Feb 18:27:37, Step 72750: 0.533333333333 1.97669245402
07. Feb 18:28:12, Step 73000: 0.529166666667 1.98230667114
07. Feb 18:28:47, Step 73250: 0.5625 2.11452000936
07. Feb 18:29:22, Step 73500: 0.541666666667 1.98242594401
07. Feb 18:29:58, Step 73750: 0.541666666667 2.01325263977
07. Feb 18:30:33, Step 74000: 0.520833333333 1.98532511393
07. Feb 18:31:07, Step 74250: 0.5125 2.06986262004
07. Feb 18:31:41, Step 74500: 0.533333333333 2.05078137716
07. Feb 18:32:15, Step 74750: 0.55 2.05764694214
07. Feb 18:32:50, Step 75000: 0.541666666667 2.05274772644
07. Feb 18:33:24, Step 75250: 0.5625 2.01897900899
07. Feb 18:33:58, Step 75500: 0.541666666667 2.00954055786
07. Feb 18:34:32, Step 75750: 0.55 2.00010108948
07. Feb 18:35:04, Step 76000: 0.566666666667 1.97960230509
07. Feb 18:35:38, Step 76250: 0.520833333333 2.03307673136
07. Feb 18:36:12, Step 76500: 0.541666666667 2.01647059123
07. Feb 18:36:46, Step 76750: 0.504166666667 2.05549710592
07. Feb 18:37:21, Step 77000: 0.525 2.02173627218
07. Feb 18:37:55, Step 77250: 0.541666666667 1.99695955912
07. Feb 18:38:29, Step 77500: 0.558333333333 2.02368418376
07. Feb 18:39:03, Step 77750: 0.541666666667 2.01640523275
07. Feb 18:39:34, Step 78000: 0.570833333333 1.94887313843
07. Feb 18:40:05, Step 78250: 0.5625 1.93887049357
07. Feb 18:40:36, Step 78500: 0.579166666667 1.91774698893
07. Feb 18:41:07, Step 78750: 0.5375 2.02613093058
07. Feb 18:41:38, Step 79000: 0.570833333333 1.9267422994
07. Feb 18:42:10, Step 79250: 0.570833333333 1.94602127075
07. Feb 18:42:42, Step 79500: 0.533333333333 1.98237711589
07. Feb 18:43:17, Step 79750: 0.554166666667 1.97669614156
07. Feb 18:43:51, Step 80000: 0.541666666667 1.98732528687
07. Feb 18:44:25, Step 80250: 0.5625 1.94216880798
07. Feb 18:45:00, Step 80500: 0.545833333333 2.00644874573
07. Feb 18:45:35, Step 80750: 0.5625 2.0314646403
07. Feb 18:46:09, Step 81000: 0.575 1.955687205
07. Feb 18:46:42, Step 81250: 0.575 1.94716161092
07. Feb 18:47:17, Step 81500: 0.545833333333 1.97014897664
07. Feb 18:47:51, Step 81750: 0.533333333333 1.95162264506
07. Feb 18:48:25, Step 82000: 0.525 1.96549784342
07. Feb 18:48:59, Step 82250: 0.529166666667 1.97259140015
07. Feb 18:49:34, Step 82500: 0.529166666667 1.96079966227
07. Feb 18:50:09, Step 82750: 0.55 1.9713297526
07. Feb 18:50:43, Step 83000: 0.529166666667 1.98394495646
07. Feb 18:51:17, Step 83250: 0.583333333333 1.92919871012
07. Feb 18:51:52, Step 83500: 0.570833333333 1.94513702393
07. Feb 18:52:26, Step 83750: 0.55 1.95078468323
07. Feb 18:53:00, Step 84000: 0.554166666667 1.95636049906
07. Feb 18:53:36, Step 84250: 0.566666666667 1.93628934224
07. Feb 18:54:13, Step 84500: 0.570833333333 1.91139208476
07. Feb 18:54:52, Step 84750: 0.55 1.91273167928
07. Feb 18:55:30, Step 85000: 0.5375 1.95830612183
07. Feb 18:56:08, Step 85250: 0.579166666667 1.91972249349
07. Feb 18:56:45, Step 85500: 0.554166666667 1.94349161784
07. Feb 18:57:24, Step 85750: 0.554166666667 1.93771235148
07. Feb 18:58:02, Step 86000: 0.558333333333 1.94899139404
07. Feb 18:58:38, Step 86250: 0.566666666667 1.9305287679
07. Feb 18:59:15, Step 86500: 0.5375 1.94750696818
07. Feb 18:59:50, Step 86750: 0.545833333333 1.95362803141
07. Feb 19:00:25, Step 87000: 0.554166666667 1.94741465251
07. Feb 19:00:59, Step 87250: 0.545833333333 2.00710957845
07. Feb 19:01:36, Step 87500: 0.5625 1.97586720785
07. Feb 19:02:11, Step 87750: 0.579166666667 1.98041992188
07. Feb 19:02:46, Step 88000: 0.554166666667 2.01070073446
07. Feb 19:03:24, Step 88250: 0.5625 1.96636492411
07. Feb 19:03:59, Step 88500: 0.529166666667 1.98373082479
07. Feb 19:04:34, Step 88750: 0.545833333333 1.99524027507
07. Feb 19:05:11, Step 89000: 0.545833333333 1.99016329447
07. Feb 19:05:48, Step 89250: 0.55 1.97806879679
07. Feb 19:06:26, Step 89500: 0.541666666667 1.96551233927
07. Feb 19:07:02, Step 89750: 0.533333333333 1.98087158203
07. Feb 19:07:37, Step 90000: 0.558333333333 1.95099232992
07. Feb 19:08:11, Step 90250: 0.533333333333 2.01083399455
07. Feb 19:08:46, Step 90500: 0.566666666667 1.95483347575
07. Feb 19:09:22, Step 90750: 0.545833333333 1.98322550456
07. Feb 19:09:56, Step 91000: 0.5375 1.9920249939
07. Feb 19:10:34, Step 91250: 0.5375 1.9738609314
07. Feb 19:11:12, Step 91500: 0.545833333333 2.02733510335
07. Feb 19:11:50, Step 91750: 0.566666666667 1.99390869141
07. Feb 19:12:28, Step 92000: 0.533333333333 2.10132001241
07. Feb 19:13:03, Step 92250: 0.545833333333 2.17604370117
07. Feb 19:13:38, Step 92500: 0.5625 2.05143458049
07. Feb 19:14:17, Step 92750: 0.525 1.99832814535
07. Feb 19:14:52, Step 93000: 0.5375 2.01328201294
07. Feb 19:15:30, Step 93250: 0.5375 2.02472559611
07. Feb 19:16:05, Step 93500: 0.5375 1.99702682495
07. Feb 19:16:43, Step 93750: 0.545833333333 2.2042872111
07. Feb 19:17:17, Step 94000: 0.525 2.01467336019
07. Feb 19:17:52, Step 94250: 0.545833333333 2.14761606852
07. Feb 19:18:27, Step 94500: 0.554166666667 2.00242233276
07. Feb 19:19:01, Step 94750: 0.5375 2.19868748983
07. Feb 19:19:35, Step 95000: 0.5375 2.22903035482
07. Feb 19:20:13, Step 95250: 0.520833333333 1.99904747009
07. Feb 19:20:51, Step 95500: 0.5125 2.00638326009
07. Feb 19:21:26, Step 95750: 0.520833333333 2.05079167684
07. Feb 19:22:05, Step 96000: 0.504166666667 2.06912155151
07. Feb 19:22:42, Step 96250: 0.504166666667 2.01573257446
07. Feb 19:23:18, Step 96500: 0.529166666667 1.97314275106
07. Feb 19:23:53, Step 96750: 0.5375 1.9752049764
07. Feb 19:24:31, Step 97000: 0.525 1.9875570933
07. Feb 19:25:09, Step 97250: 0.558333333333 1.92198727926
07. Feb 19:25:46, Step 97500: 0.554166666667 1.92630996704
07. Feb 19:26:22, Step 97750: 0.516666666667 1.98994776408
07. Feb 19:26:59, Step 98000: 0.545833333333 1.96740188599
07. Feb 19:27:35, Step 98250: 0.508333333333 1.97145907084
07. Feb 19:28:12, Step 98500: 0.558333333333 1.95107981364
07. Feb 19:28:50, Step 98750: 0.529166666667 1.96709187826
07. Feb 19:29:26, Step 99000: 0.55 1.93730417887
07. Feb 19:30:04, Step 99250: 0.545833333333 1.92914937337
07. Feb 19:30:41, Step 99500: 0.529166666667 1.9593808492
07. Feb 19:31:15, Step 99750: 0.558333333333 1.96753527323
07. Feb 19:31:53, Step 100000: 0.558333333333 1.9523727417
07. Feb 19:32:30, Step 100250: 0.545833333333 2.00311965942
07. Feb 19:33:05, Step 100500: 0.525 1.97587356567
07. Feb 19:33:42, Step 100750: 0.541666666667 1.98747304281
07. Feb 19:34:20, Step 101000: 0.55 1.96293360392
07. Feb 19:34:56, Step 101250: 0.525 1.96444117228
07. Feb 19:35:31, Step 101500: 0.525 1.9567943573
07. Feb 19:36:07, Step 101750: 0.55 1.95022252401
07. Feb 19:36:41, Step 102000: 0.541666666667 1.93158569336
07. Feb 19:37:14, Step 102250: 0.566666666667 1.94879760742
07. Feb 19:37:50, Step 102500: 0.5625 1.93963419596
07. Feb 19:38:27, Step 102750: 0.558333333333 1.94264806112
07. Feb 19:39:03, Step 103000: 0.554166666667 1.95468444824
07. Feb 19:39:39, Step 103250: 0.554166666667 1.93644587199
07. Feb 19:40:14, Step 103500: 0.545833333333 1.92573432922
07. Feb 19:40:48, Step 103750: 0.5375 1.95534667969
07. Feb 19:41:22, Step 104000: 0.558333333333 1.94548403422
07. Feb 19:41:55, Step 104250: 0.55 1.95481363932
