got impatient and tripled the learning rate again
12. Mar 09:50:13, Step 0: 0.505080058224 2.28596392663
12. Mar 10:12:22, Step 0: 0.505123726346 2.28836603638
12. Mar 10:34:35, Step 0: 0.5065356623 2.28642565157
12. Mar 10:56:12, Step 0: 0.505123726346 2.28479125928
12. Mar 11:17:46, Step 0: 0.508180494905 2.27913678185
12. Mar 11:39:23, Step 0: 0.508224163028 2.2708252769
12. Mar 12:01:09, Step 0: 0.511018922853 2.26774323442
12. Mar 12:23:14, Step 0: 0.51114992722 2.25930427058
12. Mar 12:45:22, Step 0: 0.512066957787 2.26198478337
12. Mar 13:07:38, Step 0: 0.509839883552 2.26374640653
12. Mar 13:29:43, Step 0: 0.511411935953 2.25472760737
12. Mar 13:51:56, Step 0: 0.511586608443 2.26182927897
ok, divided learning rate by 3 again
12. Mar 14:09:17, Step 0: 0.511586608443 2.26182927897
12. Mar 14:31:24, Step 0: 0.516695778748 2.24291406125
12. Mar 14:53:27, Step 0: 0.514832605531 2.2427170586
12. Mar 15:15:39, Step 0: 0.516200873362 2.2401028974
12. Mar 15:37:41, Step 0: 0.515604075691 2.23811303391
12. Mar 15:59:43, Step 0: 0.516433770015 2.23974697017
12. Mar 16:21:54, Step 0: 0.514556040757 2.23821655151
12. Mar 16:44:23, Step 0: 0.516622998544 2.2335381948
12. Mar 17:06:39, Step 0: 0.517714701601 2.23725775972
12. Mar 17:28:48, Step 0: 0.518515283843 2.23238012024
12. Mar 17:50:58, Step 0: 0.518296943231 2.23134175216
12. Mar 18:13:15, Step 0: 0.516491994178 2.22984416726
12. Mar 18:35:26, Step 0: 0.516754002911 2.23238217236
12. Mar 18:57:49, Step 0: 0.519650655022 2.22485776592
12. Mar 19:20:02, Step 0: 0.520174672489 2.22772752893
12. Mar 20:03:07, Step 0: 0.520174672489 2.22772752893
12. Mar 20:28:00, Step 0: 0.518631732169 2.22143096882
