01. Mar 04:55:11, Step 16000: 0.569270833333 1.89148813883
01. Mar 04:59:10, Step 20000: 0.566927083333 1.87815589905
01. Mar 05:03:10, Step 24000: 0.563802083333 2.02195269267
01. Mar 05:07:03, Step 28000: 0.56875 1.92648162842
01. Mar 05:10:44, Step 32000: 0.563541666667 1.89902102153
01. Mar 05:14:21, Step 36000: 0.571354166667 1.89077008565
01. Mar 05:17:48, Step 40000: 0.5609375 1.95615361532
01. Mar 05:21:02, Step 44000: 0.57421875 1.88599573771
01. Mar 05:24:16, Step 48000: 0.570052083333 2.01579564412
01. Mar 05:27:22, Step 52000: 0.56484375 1.88816210429
01. Mar 05:30:26, Step 56000: 0.563802083333 2.23586578369
01. Mar 05:33:25, Step 60000: 0.5578125 1.90864168803
01. Mar 05:36:20, Step 64000: 0.578645833333 1.87914377848
01. Mar 05:39:10, Step 68000: 0.569791666667 1.90231539408
01. Mar 05:41:58, Step 72000: 0.5765625 1.88120409648
01. Mar 05:44:42, Step 76000: 0.569010416667 1.90543645223
01. Mar 05:47:16, Step 80000: 0.560677083333 1.91515668233
01. Mar 05:49:56, Step 84000: 0.577864583333 1.87743123372
01. Mar 05:52:32, Step 88000: 0.566927083333 1.88677368164
01. Mar 05:55:04, Step 92000: 0.563541666667 2.09520390828
01. Mar 05:57:33, Step 96000: 0.565625 1.89934018453
01. Mar 06:00:02, Step 100000: 0.564583333333 1.89717725118
01. Mar 06:02:30, Step 104000: 0.571614583333 1.88188476562
01. Mar 06:04:55, Step 108000: 0.570833333333 1.96699142456
01. Mar 06:07:22, Step 112000: 0.571614583333 1.88861083984
01. Mar 06:09:41, Step 116000: 0.564322916667 1.88271255493
01. Mar 06:10:49, Step 0: 0.570572916667 1.87982241313
01. Mar 06:11:27, Step 20: 0.572916666667 1.87922312419
01. Mar 06:12:03, Step 40: 0.571354166667 1.8764851888
01. Mar 06:12:34, Step 60: 0.570833333333 1.90703023275
01. Mar 06:13:13, Step 80: 0.57578125 1.88993352254
01. Mar 06:13:47, Step 100: 0.575 1.8825378418
01. Mar 06:16:06, Step 4000: 0.576822916667 1.8696231842
01. Mar 06:18:28, Step 8000: 0.56484375 1.88545710246
01. Mar 06:20:56, Step 12000: 0.56484375 1.88175074259
01. Mar 06:23:12, Step 16000: 0.577083333333 1.86523742676
01. Mar 06:25:31, Step 20000: 0.579947916667 1.8718489329
01. Mar 06:27:46, Step 24000: 0.553645833333 1.9983118693
01. Mar 06:30:05, Step 28000: 0.566927083333 1.90462023417
01. Mar 06:32:15, Step 32000: 0.562239583333 1.88885065715
01. Mar 06:34:31, Step 36000: 0.571614583333 1.87768046061
01. Mar 06:36:46, Step 40000: 0.565104166667 1.92809906006
01. Mar 06:39:01, Step 44000: 0.573697916667 1.8728621165
01. Mar 06:41:15, Step 48000: 0.5546875 2.05676066081
01. Mar 06:43:29, Step 52000: 0.5625 1.88781382243
01. Mar 06:45:43, Step 56000: 0.561458333333 2.18202362061
01. Mar 06:47:52, Step 60000: 0.56796875 1.88032137553
01. Mar 06:50:05, Step 64000: 0.573697916667 1.86642875671
01. Mar 06:52:16, Step 68000: 0.569010416667 1.88179677327
01. Mar 06:54:27, Step 72000: 0.578645833333 1.85846392314
01. Mar 06:56:40, Step 76000: 0.579166666667 1.86989453634
01. Mar 06:58:53, Step 80000: 0.570833333333 1.8831460317
01. Mar 07:01:02, Step 84000: 0.57890625 1.86769752502
01. Mar 07:03:09, Step 88000: 0.571614583333 1.86508827209
01. Mar 07:05:18, Step 92000: 0.566927083333 2.05240491231
01. Mar 07:07:33, Step 96000: 0.569791666667 1.87637468974
01. Mar 07:09:47, Step 100000: 0.566145833333 1.86907933553
01. Mar 07:11:55, Step 104000: 0.57265625 1.86079826355
01. Mar 07:14:10, Step 108000: 0.56796875 1.8816608429
01. Mar 07:16:25, Step 112000: 0.576302083333 1.86493377686
01. Mar 07:18:36, Step 116000: 0.570572916667 1.85965805054
01. Mar 07:19:37, Step 0: 0.575 1.86360613505
01. Mar 07:20:09, Step 20: 0.572395833333 1.86200675964
01. Mar 07:20:44, Step 40: 0.572135416667 1.86229451497
01. Mar 07:21:16, Step 60: 0.56875 1.87318534851
01. Mar 07:21:49, Step 80: 0.56953125 1.86863899231
01. Mar 07:22:26, Step 100: 0.567708333333 1.87575111389
01. Mar 07:24:35, Step 4000: 0.56953125 1.8682472229
01. Mar 07:26:47, Step 8000: 0.571354166667 1.86970227559
01. Mar 07:29:11, Step 12000: 0.570572916667 1.87527325948
01. Mar 07:31:20, Step 16000: 0.580208333333 1.85969823201
01. Mar 07:33:36, Step 20000: 0.575260416667 1.86097590129
01. Mar 07:35:45, Step 24000: 0.558854166667 2.07049878438
01. Mar 07:37:58, Step 28000: 0.57734375 1.86775461833
01. Mar 07:40:11, Step 32000: 0.572135416667 1.88620262146
01. Mar 07:42:21, Step 36000: 0.568489583333 1.85748736064
01. Mar 07:44:34, Step 40000: 0.565625 1.94461619059
01. Mar 07:46:48, Step 44000: 0.579947916667 1.86707166036
01. Mar 07:48:56, Step 48000: 0.5671875 1.99462471008
01. Mar 07:51:13, Step 52000: 0.567447916667 1.87085647583
01. Mar 07:53:24, Step 56000: 0.555729166667 2.2075592041
01. Mar 07:55:38, Step 60000: 0.572395833333 1.85889968872
01. Mar 07:57:47, Step 64000: 0.576302083333 1.86161321004
01. Mar 07:59:59, Step 68000: 0.572395833333 1.88609568278
01. Mar 08:02:16, Step 72000: 0.573958333333 1.86151847839
01. Mar 08:04:23, Step 76000: 0.566666666667 1.86031710307
01. Mar 08:07:50, Step 80000: 0.56328125 1.88680610657
01. Mar 08:09:59, Step 84000: 0.576302083333 1.8501847585
01. Mar 08:12:12, Step 88000: 0.56640625 1.8847395579
01. Mar 08:14:28, Step 92000: 0.570572916667 2.07430369059
01. Mar 08:16:37, Step 96000: 0.571614583333 1.86619173686
01. Mar 08:18:52, Step 100000: 0.575 1.85404281616
01. Mar 08:21:06, Step 104000: 0.577864583333 1.85502408346
01. Mar 08:23:17, Step 108000: 0.575520833333 1.87317276001
01. Mar 08:25:31, Step 112000: 0.579947916667 1.84442672729
01. Mar 08:27:40, Step 116000: 0.575520833333 1.84829305013
01. Mar 08:28:50, Step 0: 0.570052083333 1.84837163289
01. Mar 08:29:22, Step 20: 0.57578125 1.85267690023
01. Mar 08:29:52, Step 40: 0.574479166667 1.85178667704
01. Mar 08:30:22, Step 60: 0.569010416667 1.86589838664
01. Mar 08:30:57, Step 80: 0.572916666667 1.85685768127
01. Mar 08:31:30, Step 100: 0.571875 1.85368041992
01. Mar 08:33:40, Step 4000: 0.57734375 1.85438461304
01. Mar 08:35:54, Step 8000: 0.571614583333 1.86165835063
01. Mar 08:38:13, Step 12000: 0.571614583333 1.85301361084
01. Mar 08:40:27, Step 16000: 0.580208333333 1.85686340332
01. Mar 08:42:43, Step 20000: 0.57578125 1.8347849528
01. Mar 08:44:51, Step 24000: 0.568229166667 1.99467404683
01. Mar 08:47:05, Step 28000: 0.570572916667 1.86102116903
01. Mar 08:49:18, Step 32000: 0.572916666667 1.86262359619
01. Mar 08:51:27, Step 36000: 0.581770833333 1.84868939718
01. Mar 08:53:43, Step 40000: 0.56484375 1.95519803365
