01. 15:37:43, batch 213,  layers8filters64.ckpt wr: 0.55, drill_144.ckpt wr: 0.42
01. 15:38:53, batch 214,  layers8filters64.ckpt wr: 0.41, drill_114.ckpt wr: 0.56
01. 15:39:59, batch 215,  layers8filters64.ckpt wr: 0.50, drill_87.ckpt wr: 0.47
01. 15:41:08, batch 216,  layers8filters64.ckpt wr: 0.53, drill_96.ckpt wr: 0.44
01. 15:42:10, batch 217,  layers8filters64.ckpt wr: 0.44, drill_63.ckpt wr: 0.54
01. 15:43:23, batch 218,  layers8filters64.ckpt wr: 0.46, drill_89.ckpt wr: 0.52
01. 15:44:29, batch 219,  layers8filters64.ckpt wr: 0.55, drill_186.ckpt wr: 0.43
01. 15:45:42, batch 220,  layers8filters64.ckpt wr: 0.52, drill_161.ckpt wr: 0.45
01. 15:46:54, batch 221,  layers8filters64.ckpt wr: 0.48, drill_101.ckpt wr: 0.45
01. 15:48:05, batch 222,  layers8filters64.ckpt wr: 0.47, drill_175.ckpt wr: 0.49
01. 15:49:14, batch 223,  layers8filters64.ckpt wr: 0.55, drill_118.ckpt wr: 0.42
01. 15:50:23, batch 224,  layers8filters64.ckpt wr: 0.49, drill_125.ckpt wr: 0.47
01. 15:51:35, batch 225,  layers8filters64.ckpt wr: 0.46, drill_116.ckpt wr: 0.52
01. 15:52:45, batch 226,  layers8filters64.ckpt wr: 0.55, drill_142.ckpt wr: 0.44
01. 15:53:42, batch 227,  layers8filters64.ckpt wr: 0.42, drill_217.ckpt wr: 0.55
01. 15:54:52, batch 228,  layers8filters64.ckpt wr: 0.54, drill_86.ckpt wr: 0.43
01. 15:56:04, batch 229,  layers8filters64.ckpt wr: 0.54, drill_131.ckpt wr: 0.42
01. 15:57:14, batch 230,  layers8filters64.ckpt wr: 0.43, drill_91.ckpt wr: 0.54
01. 15:58:28, batch 231,  layers8filters64.ckpt wr: 0.44, drill_192.ckpt wr: 0.56
01. 15:59:39, batch 232,  layers8filters64.ckpt wr: 0.47, drill_171.ckpt wr: 0.52
01. 16:00:48, batch 233,  layers8filters64.ckpt wr: 0.44, drill_225.ckpt wr: 0.52
01. 16:02:00, batch 234,  layers8filters64.ckpt wr: 0.60, drill_38.ckpt wr: 0.37
01. 16:03:12, batch 235,  layers8filters64.ckpt wr: 0.53, drill_37.ckpt wr: 0.44
01. 16:04:18, batch 236,  layers8filters64.ckpt wr: 0.48, drill_187.ckpt wr: 0.49
01. 16:05:17, batch 237,  layers8filters64.ckpt wr: 0.54, drill_42.ckpt wr: 0.45
01. 16:06:24, batch 238,  layers8filters64.ckpt wr: 0.62, drill_62.ckpt wr: 0.34
01. 16:07:25, batch 239,  layers8filters64.ckpt wr: 0.54, drill_194.ckpt wr: 0.45
01. 16:08:35, batch 240,  layers8filters64.ckpt wr: 0.48, drill_139.ckpt wr: 0.49
01. 16:09:38, batch 241,  layers8filters64.ckpt wr: 0.54, drill_194.ckpt wr: 0.44
01. 16:10:40, batch 242,  layers8filters64.ckpt wr: 0.49, drill_26.ckpt wr: 0.45
01. 16:11:53, batch 243,  layers8filters64.ckpt wr: 0.44, drill_220.ckpt wr: 0.54
01. 16:13:00, batch 244,  layers8filters64.ckpt wr: 0.48, drill_231.ckpt wr: 0.51
01. 16:14:14, batch 245,  layers8filters64.ckpt wr: 0.53, drill_48.ckpt wr: 0.45
01. 16:15:25, batch 246,  layers8filters64.ckpt wr: 0.51, drill_55.ckpt wr: 0.45
01. 16:16:39, batch 247,  layers8filters64.ckpt wr: 0.59, drill_75.ckpt wr: 0.38
01. 16:17:54, batch 248,  layers8filters64.ckpt wr: 0.52, drill_151.ckpt wr: 0.48
01. 16:18:57, batch 249,  layers8filters64.ckpt wr: 0.52, drill_183.ckpt wr: 0.44
01. 16:20:12, batch 250,  layers8filters64.ckpt wr: 0.52, drill_61.ckpt wr: 0.45
01. 16:21:21, batch 251,  layers8filters64.ckpt wr: 0.50, drill_81.ckpt wr: 0.43
01. 16:22:19, batch 252,  layers8filters64.ckpt wr: 0.42, drill_107.ckpt wr: 0.55
01. 16:23:34, batch 253,  layers8filters64.ckpt wr: 0.52, drill_46.ckpt wr: 0.44
01. 16:24:49, batch 254,  layers8filters64.ckpt wr: 0.50, drill_143.ckpt wr: 0.48
