06. Feb 16:07:54, Step 113000: 0.604166666667 1.78400548299
06. Feb 16:10:24, Step 114000: 0.629166666667 1.78132998149
06. Feb 16:12:54, Step 115000: 0.579166666667 1.91804555257
06. Feb 16:15:24, Step 116000: 0.579166666667 1.82874247233
06. Feb 16:17:57, Step 117000: 0.570833333333 1.88072128296
06. Feb 16:18:43, Step 117297: 0.591666666667 1.8020131429
06. Feb 19:31:09, Step 0: 0.218005822416 6170.59739583
06. Feb 19:38:59, Step 0: 0.1625 172.409765625
07. Feb 14:12:22, Step 0: 0.19375 131.132364909
07. Feb 14:19:30, Step 0: 0.197916666667 7.97077534993
07. Feb 14:25:32, Step 0: 0.191666666667 39.0067626953
07. Feb 14:25:36, Step 20: 0.266666666667 5.66369018555
07. Feb 14:25:40, Step 40: 0.225 4.91151936849
07. Feb 14:25:44, Step 60: 0.266666666667 4.56707865397
07. Feb 14:25:47, Step 80: 0.258333333333 4.20370229085
07. Feb 14:25:52, Step 100: 0.308333333333 3.80118662516
07. Feb 14:26:13, Step 250: 0.358333333333 2.77491989136
07. Feb 14:26:48, Step 500: 0.5 2.28502324422
07. Feb 14:27:49, Step 0: 0.258333333333 7.25127563477
07. Feb 14:27:53, Step 20: 0.216666666667 4.56958821615
07. Feb 14:27:57, Step 40: 0.241666666667 3.73449757894
07. Feb 14:28:37, Step 0: 0.166666666667 35.6895304362
07. Feb 14:28:41, Step 20: 0.233333333333 6.16714782715
07. Feb 14:28:46, Step 40: 0.216666666667 5.17773030599
07. Feb 14:28:50, Step 60: 0.216666666667 4.6317199707
07. Feb 14:31:58, Step 0: 0.116666666667 76.477327474
07. Feb 14:32:38, Step 0: 0.141666666667 12.5537963867
07. Feb 14:32:42, Step 20: 0.233333333333 4.75624898275
07. Feb 14:32:47, Step 40: 0.225 4.04040222168
07. Feb 14:32:51, Step 60: 0.2 3.60217056274
07. Feb 14:32:56, Step 80: 0.283333333333 3.23313395182
07. Feb 14:33:01, Step 100: 0.283333333333 2.98831481934
07. Feb 14:33:21, Step 250: 0.45 2.56587931315
07. Feb 14:33:53, Step 500: 0.5 2.2441289266
07. Feb 14:34:27, Step 750: 0.491666666667 2.22047805786
07. Feb 14:35:18, Step 0: 0.191666666667 6.72387390137
07. Feb 14:41:49, Step 0: 0.208333333333 65.7639485677
07. Feb 14:43:36, Step 0: 0.15 27.2755249023
07. Feb 14:43:40, Step 20: 0.241666666667 7.17392730713
07. Feb 14:43:44, Step 40: 0.175 5.18458658854
07. Feb 14:43:48, Step 60: 0.2 4.65172475179
07. Feb 14:52:04, Step 0: 0.183333333333 6.18201090495
07. Feb 14:52:08, Step 20: 0.183333333333 4.22066802979
07. Feb 14:53:08, Step 0: 0.175 13.909942627
07. Feb 15:01:40, Step 0: 0.291666666667 4.20974095662
07. Feb 15:01:44, Step 20: 0.283333333333 3.52825113932
07. Feb 15:02:14, Step 0: 0.675 1.48966382345
07. Feb 15:02:18, Step 20: 0.666666666667 1.48961970011
07. Feb 15:02:22, Step 40: 0.666666666667 1.66304219564
07. Feb 15:10:55, Step 0: 0.575400291121 1.48966382345
07. Feb 19:09:42, Step 0: 0.588802083333 1.48791109721
